team,att,cmp,cmp_percentage,yds_att,passyds,td,int_,rate,1st,1st_Percentage,20plus,40plus,lng,sck,scky,year
CowboysCowboys,639,413,64.6,7.1,4511,25,13,89.9,231,36.2,50,11,69,44,350,2020
ChiefsChiefs,630,420,66.7,7.9,5005,40,7,107.3,255,40.5,69,8,75T,24,151,2020
FalconsFalcons,628,408,65,7.4,4620,27,11,93.9,243,38.7,59,8,63T,41,257,2020
ChargersChargers,627,413,65.9,7.2,4548,31,10,97,226,36,54,10,72T,34,219,2020
BuccaneersBuccaneers,626,410,65.5,7.6,4776,42,12,102.8,238,38,67,12,50,22,150,2020
JaguarsJaguars,616,387,62.8,6.4,3955,25,16,83.9,205,33.3,45,5,73,44,256,2020
BearsBears,614,402,65.5,6.4,3925,26,16,86.5,218,35.5,42,3,53,36,270,2020
Football TeamFootball Team,601,389,64.7,6.3,3796,16,16,80.1,184,30.6,40,6,68,50,331,2020
EaglesEagles,598,334,55.8,6.2,3728,22,20,72.9,177,29.6,43,9,81T,65,401,2020
BillsBills,596,410,68.8,8,4786,40,11,107.6,240,40.3,66,10,56,27,166,2020
RamsRams,590,392,66.4,7.1,4183,20,14,88.4,206,34.9,50,6,56T,25,169,2020
LionsLions,582,374,64.3,7.6,4397,27,13,93.3,220,37.8,58,8,73,42,293,2020
BengalsBengals,581,372,64,6.5,3793,19,11,85.6,201,34.6,35,5,72T,48,345,2020
CardinalsCardinals,575,387,67.3,7.1,4102,27,13,94.1,211,36.7,45,14,80T,29,186,2020
49ers49ers,570,371,65.1,7.6,4320,25,17,90.1,217,38.1,55,10,76,39,287,2020
SeahawksSeahawks,563,388,68.9,7.5,4245,40,13,105,216,38.4,45,11,62,48,304,2020
DolphinsDolphins,559,370,66.2,7,3937,24,13,91.2,207,37,40,4,70,34,201,2020
BroncosBroncos,556,317,57,6.6,3673,21,23,72.5,176,31.6,49,11,92,32,222,2020
ColtsColts,552,371,67.2,7.6,4186,24,11,95.9,201,36.4,56,8,55,21,133,2020
RaidersRaiders,551,369,67,8,4383,28,10,100.4,206,37.4,59,12,85,28,166,2020
PanthersPanthers,550,373,67.8,7.5,4129,16,16,87.4,192,34.9,55,9,75T,36,241,2020
TexansTexans,546,383,70.2,8.9,4843,33,7,112.3,222,40.7,70,11,77T,50,305,2020
PackersPackers,526,372,70.7,8.2,4299,48,5,121.5,216,41.1,57,14,78T,21,193,2020
SaintsSaints,522,370,70.9,7.6,3945,28,8,104.1,199,38.1,44,9,52T,29,187,2020
GiantsGiants,517,321,62.1,6.4,3336,12,11,79.6,178,34.4,36,5,53,50,310,2020
VikingsVikings,516,349,67.6,8.3,4265,35,13,105,212,41.1,58,7,71T,39,256,2020
